,Created Date,Negative,Neutral,Positive,Tweets Ago,Twitter Account,compound
62,2018-03-20 02:22:25+00:00,0.256,0.744,0.0,63,BBCNews,-0.4767
63,2018-03-20 02:22:23+00:00,0.318,0.465,0.217,64,BBCNews,-0.3182
64,2018-03-20 01:08:55+00:00,0.0,1.0,0.0,65,BBCNews,0.0
65,2018-03-20 01:08:53+00:00,0.0,0.769,0.231,66,BBCNews,0.5106
66,2018-03-20 01:04:57+00:00,0.0,1.0,0.0,67,BBCNews,0.0
67,2018-03-20 01:00:40+00:00,0.252,0.748,0.0,68,BBCNews,-0.4019
68,2018-03-20 00:56:27+00:00,0.0,1.0,0.0,69,BBCNews,0.0
69,2018-03-20 00:56:27+00:00,0.0,1.0,0.0,70,BBCNews,0.0
70,2018-03-20 00:51:30+00:00,0.297,0.703,0.0,71,BBCNews,-0.5859
71,2018-03-19 22:38:15+00:00,0.167,0.833,0.0,72,BBCNews,-0.4588
72,2018-03-19 22:35:49+00:00,0.0,1.0,0.0,73,BBCNews,0.0
73,2018-03-19 22:34:03+00:00,0.0,1.0,0.0,74,BBCNews,0.0
74,2018-03-19 22:26:15+00:00,0.268,0.732,0.0,75,BBCNews,-0.5267
75,2018-03-19 22:22:03+00:00,0.129,0.628,0.243,76,BBCNews,0.5023
76,2018-03-19 22:15:39+00:00,0.0,1.0,0.0,77,BBCNews,0.0
77,2018-03-19 22:04:28+00:00,0.262,0.738,0.0,78,BBCNews,-0.7506
78,2018-03-19 22:00:43+00:00,0.358,0.642,0.0,79,BBCNews,-0.5994
79,2018-03-19 21:52:44+00:00,0.0,1.0,0.0,80,BBCNews,0.0
80,2018-03-19 21:48:46+00:00,0.0,1.0,0.0,81,BBCNews,0.0
81,2018-03-19 21:45:12+00:00,0.0,0.833,0.167,82,BBCNews,0.5859
82,2018-03-19 21:44:38+00:00,0.135,0.643,0.222,83,BBCNews,0.3612
83,2018-03-19 21:07:58+00:00,0.0,1.0,0.0,84,BBCNews,0.0
84,2018-03-19 21:06:52+00:00,0.0,1.0,0.0,85,BBCNews,0.0
85,2018-03-19 20:54:22+00:00,0.358,0.642,0.0,86,BBCNews,-0.5994
86,2018-03-19 20:13:55+00:00,0.0,0.714,0.286,87,BBCNews,0.4215
87,2018-03-19 19:49:36+00:00,0.481,0.519,0.0,88,BBCNews,-0.7579
88,2018-03-19 18:15:53+00:00,0.167,0.833,0.0,89,BBCNews,-0.1027
89,2018-03-19 18:03:28+00:00,0.0,1.0,0.0,90,BBCNews,0.0
90,2018-03-19 18:03:08+00:00,0.0,1.0,0.0,91,BBCNews,0.0
91,2018-03-19 16:37:10+00:00,0.0,1.0,0.0,92,BBCNews,0.0
92,2018-03-19 16:37:10+00:00,0.0,1.0,0.0,93,BBCNews,0.0
93,2018-03-19 16:24:25+00:00,0.095,0.636,0.268,94,BBCNews,0.5859
94,2018-03-19 16:14:12+00:00,0.0,0.786,0.214,95,BBCNews,0.5984
95,2018-03-19 15:49:32+00:00,0.366,0.634,0.0,96,BBCNews,-0.6369
96,2018-03-19 15:49:32+00:00,0.355,0.645,0.0,97,BBCNews,-0.6597
97,2018-03-19 15:35:08+00:00,0.0,0.603,0.397,98,BBCNews,0.836
98,2018-03-19 15:18:50+00:00,0.0,1.0,0.0,99,BBCNews,0.0
99,2018-03-19 14:24:10+00:00,0.233,0.583,0.183,100,BBCNews,-0.1531
0,2018-03-21 04:03:05+00:00,0.16,0.84,0.0,1,CBSNews,-0.2263
1,2018-03-21 04:02:05+00:00,0.0,1.0,0.0,2,CBSNews,0.0
2,2018-03-21 03:46:41+00:00,0.0,0.891,0.109,3,CBSNews,0.4019
3,2018-03-21 03:30:02+00:00,0.0,0.909,0.091,4,CBSNews,0.34
4,2018-03-21 03:10:01+00:00,0.0,1.0,0.0,5,CBSNews,0.0
5,2018-03-21 02:53:42+00:00,0.0,1.0,0.0,6,CBSNews,0.0
6,2018-03-21 02:51:59+00:00,0.0,1.0,0.0,7,CBSNews,0.0
7,2018-03-21 02:37:28+00:00,0.0,1.0,0.0,8,CBSNews,0.0
8,2018-03-21 02:30:45+00:00,0.0,1.0,0.0,9,CBSNews,0.0
9,2018-03-21 02:28:40+00:00,0.127,0.873,0.0,10,CBSNews,-0.4939
10,2018-03-21 02:18:30+00:00,0.13,0.87,0.0,11,CBSNews,-0.4019
11,2018-03-21 01:52:24+00:00,0.0,0.748,0.252,12,CBSNews,0.6597
12,2018-03-21 01:44:39+00:00,0.0,0.884,0.116,13,CBSNews,0.3612
13,2018-03-21 01:36:24+00:00,0.0,0.89,0.11,14,CBSNews,0.3818
14,2018-03-21 01:31:29+00:00,0.118,0.882,0.0,15,CBSNews,-0.34
15,2018-03-21 01:27:29+00:00,0.0,0.892,0.108,16,CBSNews,0.3182
16,2018-03-21 01:22:01+00:00,0.086,0.914,0.0,17,CBSNews,-0.1531
17,2018-03-21 01:07:03+00:00,0.0,1.0,0.0,18,CBSNews,0.0
18,2018-03-21 01:03:35+00:00,0.0,0.892,0.108,19,CBSNews,0.3182
19,2018-03-21 00:59:48+00:00,0.0,1.0,0.0,20,CBSNews,0.0
20,2018-03-21 00:51:20+00:00,0.151,0.849,0.0,21,CBSNews,-0.4939
21,2018-03-21 00:44:01+00:00,0.0,1.0,0.0,22,CBSNews,0.0
22,2018-03-21 00:33:29+00:00,0.144,0.856,0.0,23,CBSNews,-0.4019
23,2018-03-21 00:30:01+00:00,0.213,0.787,0.0,24,CBSNews,-0.5574
24,2018-03-21 00:10:01+00:00,0.0,1.0,0.0,25,CBSNews,0.0
25,2018-03-20 23:50:01+00:00,0.28,0.72,0.0,26,CBSNews,-0.765
26,2018-03-20 23:30:01+00:00,0.0,1.0,0.0,27,CBSNews,0.0
27,2018-03-20 23:10:01+00:00,0.184,0.816,0.0,28,CBSNews,-0.3818
28,2018-03-20 23:05:32+00:00,0.122,0.724,0.154,29,CBSNews,0.1774
29,2018-03-20 23:01:51+00:00,0.238,0.762,0.0,30,CBSNews,-0.6124
30,2018-03-20 22:52:01+00:00,0.087,0.913,0.0,31,CBSNews,-0.296
31,2018-03-20 22:49:52+00:00,0.0,0.821,0.179,32,CBSNews,0.5187
32,2018-03-20 22:45:57+00:00,0.117,0.782,0.101,33,CBSNews,-0.09
